"X1","X2","Weight"
-0.48,0.32,46.70144
-0.48,0.36,46.624
-0.48,0.4,46.53184
-0.48,0.44,46.42496
-0.48,0.48,46.30336
-0.48,0.52,46.16704
-0.48,0.56,46.016
-0.48,0.6,45.85024
-0.48,0.64,45.66976
-0.48,0.68,45.47456
-0.48,0.72,45.26464
-0.48,0.76,45.04
-0.48,0.8,44.80064
-0.48,0.84,44.54656
-0.48,0.88,44.27776
-0.48,0.92,43.99424
-0.48,0.96,43.696
-0.48,1,43.38304
-0.44,-1,41.17696
-0.44,-0.96,41.58784
-0.44,-0.92,41.984
-0.44,-0.88,42.36544
-0.44,-0.84,42.73216
-0.44,-0.8,43.08416
-0.44,-0.76,43.42144
-0.44,-0.72,43.744
-0.44,-0.68,44.05184
-0.44,-0.64,44.34496
-0.44,-0.6,44.62336
-0.44,-0.56,44.88704
-0.44,-0.52,45.136
-0.44,-0.48,45.37024
-0.44,-0.44,45.58976
-0.44,-0.4,45.79456
-0.44,-0.36,45.98464
-0.44,-0.32,46.16
-0.44,-0.28,46.32064
-0.44,-0.24,46.46656
-0.44,-0.2,46.59776
-0.44,-0.16,46.71424
-0.44,-0.12,46.816
-0.44,-0.08,46.90304
-0.44,-0.04,46.97536
-0.44,0,47.03296
-0.44,0.04,47.07584
-0.44,0.08,47.104
-0.44,0.12,47.11744
-0.44,0.16,47.11616
-0.44,0.2,47.10016
-0.44,0.24,47.06944
-0.44,0.28,47.024
-0.44,0.32,46.96384
-0.44,0.36,46.88896
-0.44,0.4,46.79936
-0.44,0.44,46.69504
-0.44,0.48,46.576
-0.44,0.52,46.44224
-0.44,0.56,46.29376
-0.44,0.6,46.13056
-0.44,0.64,45.95264
-0.44,0.68,45.76
-0.44,0.72,45.55264
-0.44,0.76,45.33056
-0.44,0.8,45.09376
-0.44,0.84,44.84224
-0.44,0.88,44.576
-0.44,0.92,44.29504
-0.44,0.96,43.99936
-0.44,1,43.68896
-0.4,-1,41.344
-0.4,-0.96,41.75744
-0.4,-0.92,42.15616
-0.4,-0.88,42.54016
-0.4,-0.84,42.90944
-0.4,-0.8,43.264
-0.4,-0.76,43.60384
-0.4,-0.72,43.92896
-0.4,-0.68,44.23936
-0.4,-0.64,44.53504
-0.4,-0.6,44.816
-0.4,-0.56,45.08224
-0.4,-0.52,45.33376
-0.4,-0.48,45.57056
-0.4,-0.44,45.79264
-0.4,-0.4,46
-0.4,-0.36,46.19264
-0.4,-0.32,46.37056
-0.4,-0.28,46.53376
-0.4,-0.24,46.68224
-0.4,-0.2,46.816
-0.4,-0.16,46.93504
-0.4,-0.12,47.03936
-0.4,-0.08,47.12896
-0.4,-0.04,47.20384
-0.4,0,47.264
-0.4,0.04,47.30944
-0.4,0.08,47.34016
-0.4,0.12,47.35616
-0.4,0.16,47.35744
-0.4,0.2,47.344
-0.4,0.24,47.31584
-0.4,0.28,47.27296
-0.4,0.32,47.21536
-0.4,0.36,47.14304
-0.4,0.4,47.056
-0.4,0.44,46.95424
-0.4,0.48,46.83776
-0.4,0.52,46.70656
-0.4,0.56,46.56064
-0.4,0.6,46.4
-0.4,0.64,46.22464
-0.4,0.68,46.03456
-0.4,0.72,45.82976
-0.4,0.76,45.61024
-0.4,0.8,45.376
-0.4,0.84,45.12704
-0.4,0.88,44.86336
-0.4,0.92,44.58496
-0.4,0.96,44.29184
-0.4,1,43.984
-0.36,-1,41.50016
-0.36,-0.96,41.91616
-0.36,-0.92,42.31744
-0.36,-0.88,42.704
-0.36,-0.84,43.07584
-0.36,-0.8,43.43296
-0.36,-0.76,43.77536
-0.36,-0.72,44.10304
-0.36,-0.68,44.416
-0.36,-0.64,44.71424
-0.36,-0.6,44.99776
-0.36,-0.56,45.26656
-0.36,-0.52,45.52064
-0.36,-0.48,45.76
-0.36,-0.44,45.98464
-0.36,-0.4,46.19456
-0.36,-0.36,46.38976
-0.36,-0.32,46.57024
-0.36,-0.28,46.736
-0.36,-0.24,46.88704
-0.36,-0.2,47.02336
-0.36,-0.16,47.14496
-0.36,-0.12,47.25184
-0.36,-0.08,47.344
-0.36,-0.04,47.42144
-0.36,0,47.48416
-0.36,0.04,47.53216
-0.36,0.08,47.56544
-0.36,0.12,47.584
-0.36,0.16,47.58784
-0.36,0.2,47.57696
-0.36,0.24,47.55136
-0.36,0.28,47.51104
-0.36,0.32,47.456
-0.36,0.36,47.38624
-0.36,0.4,47.30176
-0.36,0.44,47.20256
-0.36,0.48,47.08864
-0.36,0.52,46.96
-0.36,0.56,46.81664
-0.36,0.6,46.65856
-0.36,0.64,46.48576
-0.36,0.68,46.29824
-0.36,0.72,46.096
-0.36,0.76,45.87904
-0.36,0.8,45.64736
-0.36,0.84,45.40096
-0.36,0.88,45.13984
-0.36,0.92,44.864
-0.36,0.96,44.57344
-0.36,1,44.26816
-0.32,-1,41.64544
-0.32,-0.96,42.064
-0.32,-0.92,42.46784
-0.32,-0.88,42.85696
-0.32,-0.84,43.23136
-0.32,-0.8,43.59104
-0.32,-0.76,43.936
-0.32,-0.72,44.26624
-0.32,-0.68,44.58176
-0.32,-0.64,44.88256
-0.32,-0.6,45.16864
-0.32,-0.56,45.44
-0.32,-0.52,45.69664
-0.32,-0.48,45.93856
-0.32,-0.44,46.16576
-0.32,-0.4,46.37824
-0.32,-0.36,46.576
-0.32,-0.32,46.75904
-0.32,-0.28,46.92736
-0.32,-0.24,47.08096
-0.32,-0.2,47.21984
-0.32,-0.16,47.344
-0.32,-0.12,47.45344
-0.32,-0.08,47.54816
-0.32,-0.04,47.62816
-0.32,0,47.69344
-0.32,0.04,47.744
-0.32,0.08,47.77984
-0.32,0.12,47.80096
-0.32,0.16,47.80736
-0.32,0.2,47.79904
-0.32,0.24,47.776
-0.32,0.28,47.73824
-0.32,0.32,47.68576
-0.32,0.36,47.61856
-0.32,0.4,47.53664
-0.32,0.44,47.44
-0.32,0.48,47.32864
-0.32,0.52,47.20256
-0.32,0.56,47.06176
-0.32,0.6,46.90624
-0.32,0.64,46.736
-0.32,0.68,46.55104
-0.32,0.72,46.35136
-0.32,0.76,46.13696
-0.32,0.8,45.90784
-0.32,0.84,45.664
-0.32,0.88,45.40544
-0.32,0.92,45.13216
-0.32,0.96,44.84416
-0.32,1,44.54144
-0.28,-1,41.77984
-0.28,-0.96,42.20096
-0.28,-0.92,42.60736
-0.28,-0.88,42.99904
-0.28,-0.84,43.376
-0.28,-0.8,43.73824
-0.28,-0.76,44.08576
-0.28,-0.72,44.41856
-0.28,-0.68,44.73664
-0.28,-0.64,45.04
-0.28,-0.6,45.32864
-0.28,-0.56,45.60256
-0.28,-0.52,45.86176
-0.28,-0.48,46.10624
-0.28,-0.44,46.336
-0.28,-0.4,46.55104
-0.28,-0.36,46.75136
-0.28,-0.32,46.93696
-0.28,-0.28,47.10784
-0.28,-0.24,47.264
-0.28,-0.2,47.40544
-0.28,-0.16,47.53216
-0.28,-0.12,47.64416
-0.28,-0.08,47.74144
-0.28,-0.04,47.824
-0.28,0,47.89184
-0.28,0.04,47.94496
-0.28,0.08,47.98336
-0.28,0.12,48.00704
-0.28,0.16,48.016
-0.28,0.2,48.01024
-0.28,0.24,47.98976
-0.28,0.28,47.95456
-0.28,0.32,47.90464
-0.28,0.36,47.84
-0.28,0.4,47.76064
-0.28,0.44,47.66656
-0.28,0.48,47.55776
-0.28,0.52,47.43424
-0.28,0.56,47.296
-0.28,0.6,47.14304
-0.28,0.64,46.97536
-0.28,0.68,46.79296
-0.28,0.72,46.59584
-0.28,0.76,46.384
-0.28,0.8,46.15744
-0.28,0.84,45.91616
-0.28,0.88,45.66016
-0.28,0.92,45.38944
-0.28,0.96,45.104
-0.28,1,44.80384
-0.24,-1,41.90336
-0.24,-0.96,42.32704
-0.24,-0.92,42.736
-0.24,-0.88,43.13024
-0.24,-0.84,43.50976
-0.24,-0.8,43.87456
-0.24,-0.76,44.22464
-0.24,-0.72,44.56
-0.24,-0.68,44.88064
-0.24,-0.64,45.18656
-0.24,-0.6,45.47776
-0.24,-0.56,45.75424
-0.24,-0.52,46.016
-0.24,-0.48,46.26304
-0.24,-0.44,46.49536
-0.24,-0.4,46.71296
-0.24,-0.36,46.91584
-0.24,-0.32,47.104
-0.24,-0.28,47.27744
-0.24,-0.24,47.43616
-0.24,-0.2,47.58016
-0.24,-0.16,47.70944
